E(MeV)	Mg-nat
3.18035E-02	1.75402
3.18042E-02	1.75419
3.18050E-02	1.75441
3.18057E-02	1.75466
3.18065E-02	1.75496
3.18075E-02	1.7554
3.18078E-02	1.75553
3.18085E-02	1.75528
3.18095E-02	1.75499
3.18105E-02	1.75475
3.18115E-02	1.75455
3.18127E-02	1.75435
3.18137E-02	1.75421
3.18147E-02	1.7541
3.18160E-02	1.75399
3.18174E-02	1.75391
3.18187E-02	1.75386
3.18201E-02	1.75383
3.18221E-02	1.75382
3.18241E-02	1.75385
3.18268E-02	1.75391
3.18308E-02	1.75403
3.18402E-02	1.75436
3.18443E-02	1.75452
3.18469E-02	1.75463
3.18496E-02	1.75475
3.18523E-02	1.75489
3.18543E-02	1.75501
3.18550E-02	1.75505
3.18561E-02	1.75501
3.18583E-02	1.75494
3.18605E-02	1.75488
3.18638E-02	1.75481
3.18671E-02	1.75476
3.18726E-02	1.75468
3.21238E-02	1.75181
3.21326E-02	1.75172
3.21386E-02	1.75166
3.21464E-02	1.75159
3.23308E-02	1.75025
3.23406E-02	1.75017
3.23441E-02	1.75014
3.35506E-02	1.73886
3.36510E-02	1.73792
3.50887E-02	1.72526
3.59850E-02	1.71736
3.66101E-02	1.71179
3.72402E-02	1.65043
3.72481E-02	1.64967
3.72558E-02	1.64894
3.72671E-02	1.64787
3.74817E-02	1.62781
3.74892E-02	1.62711
3.74983E-02	1.62629
3.75141E-02	1.62489
3.76514E-02	1.61283
3.76620E-02	1.61188
3.76734E-02	1.61084
3.77416E-02	1.60451
3.77487E-02	1.60384
3.77530E-02	1.60341
3.77593E-02	1.60277
3.77656E-02	1.6021
3.78347E-02	1.59463
3.78405E-02	1.594
3.78472E-02	1.59335
3.78535E-02	1.59274
3.79477E-02	1.58376
3.79597E-02	1.58263
3.80380E-02	1.57537
3.81198E-02	1.58546
3.81284E-02	1.58653
3.81327E-02	1.58707
3.81370E-02	1.58762
3.81418E-02	1.58825
3.81466E-02	1.58889
3.81625E-02	1.59107
3.83282E-02	1.61373
3.83378E-02	1.61502
3.83433E-02	1.61573
3.83456E-02	1.61603
3.83548E-02	1.61718
3.84719E-02	1.6317
3.84777E-02	1.63242
3.84811E-02	1.63286
3.84857E-02	1.63348
3.84898E-02	1.63406
3.84935E-02	1.63459
3.84990E-02	1.63542
3.85099E-02	1.63712
3.85648E-02	1.64572
3.85683E-02	1.64627
3.85703E-02	1.64814
3.85739E-02	1.65158
3.85768E-02	1.65427
3.85776E-02	1.65629
3.85803E-02	1.66304
3.85831E-02	1.66983
3.85842E-02	1.67271
3.85867E-02	1.68307
3.85922E-02	1.70589
3.85939E-02	1.71284
3.85977E-02	1.73219
3.86004E-02	1.74607
3.86032E-02	1.75989
3.86059E-02	1.77347
3.86085E-02	1.78661
3.86116E-02	1.80187
3.86155E-02	1.82142
3.86225E-02	1.85613
3.86247E-02	1.867
3.86278E-02	1.88227
3.86304E-02	1.89542
3.86330E-02	1.90864
3.86354E-02	1.92097
3.86379E-02	1.93337
3.86403E-02	1.94581
3.86440E-02	1.96456
3.86476E-02	1.98337
3.86623E-02	2.05874
3.86696E-02	2.09635
3.86711E-02	2.10436
3.86758E-02	2.135
3.86792E-02	2.1569
3.86834E-02	2.19443
3.86840E-02	2.19938
3.86907E-02	2.27494
3.86930E-02	2.30701
3.86968E-02	2.35995
3.87006E-02	2.41299
3.87018E-02	2.42911
3.87044E-02	2.46788
3.87082E-02	2.52367
3.87120E-02	2.57962
3.87158E-02	2.63567
3.87216E-02	2.7199
3.87273E-02	2.80426
3.87330E-02	2.88878
3.87381E-02	2.96469
3.87420E-02	3.02177
3.87458E-02	3.07902
3.87497E-02	3.13653
3.87522E-02	3.17506
3.87548E-02	3.21377
3.87586E-02	3.27216
3.87609E-02	3.30655
3.87638E-02	3.35805
3.87653E-02	3.38551
3.87682E-02	3.45021
3.87702E-02	3.50385
3.87712E-02	3.53147
