E(MeV)	pendfb7/Ce142:1	
1.66181E-03	1255.52	
1.66196E-03	1230.44	
1.66219E-03	1195.01	
1.66247E-03	1151.72	
1.66257E-03	1136.94	
1.66294E-03	1081.51	
1.66297E-03	1077.81	
1.66332E-03	1029.78	
1.66347E-03	1009.2	
1.66370E-03	980.749	
1.66397E-03	945.985	
1.66407E-03	934.394	
1.66445E-03	890.935	
1.66447E-03	888.039	
1.66482E-03	850.971	
1.66497E-03	835.087	
1.66520E-03	813.345	
1.66548E-03	786.777	
1.66558E-03	777.965	
1.66595E-03	744.927	
1.66598E-03	742.726	
1.66633E-03	714.602	
1.66648E-03	702.551	
1.66670E-03	686.048	
1.66698E-03	665.883	
1.66708E-03	659.18	
1.66746E-03	634.049	
1.66748E-03	632.374	
1.66783E-03	610.907	
1.66798E-03	601.709	
1.66833E-03	582.03	
1.66848E-03	573.598	
1.66884E-03	555.892	
1.66924E-03	535.661	
1.66934E-03	531.189	
1.66984E-03	508.836	
