E(MeV)	"O-16(N,TOT)"
3.04241E+00	1.29438
3.04512E+00	1.30262
3.04837E+00	1.31253
3.05000E+00	1.31748
3.05310E+00	1.32693
3.05500E+00	1.33271
3.05738E+00	1.34052
3.06000E+00	1.34914
3.06130E+00	1.35422
3.06484E+00	1.36798
3.06808E+00	1.38062
3.07205E+00	1.3961
3.07553E+00	1.40965
3.08000E+00	1.42706
3.08000E+00	1.42708
3.08359E+00	1.44449
3.08659E+00	1.45909
3.08994E+00	1.47536
3.09353E+00	1.49281
3.09784E+00	1.51378
3.10000E+00	1.52428
3.10249E+00	1.53922
3.10686E+00	1.56541
3.11137E+00	1.59246
3.11445E+00	1.61092
3.11815E+00	1.6331
3.12000E+00	1.6442
3.12249E+00	1.66235
3.12686E+00	1.69415
3.13137E+00	1.72699
3.13630E+00	1.76287
3.14000E+00	1.78982
3.14249E+00	1.81135
3.14686E+00	1.84906
3.15155E+00	1.88953
3.15577E+00	1.92601
3.16000E+00	1.96253
3.16500E+00	2.01146
3.17000E+00	2.06046
3.17500E+00	2.10938
3.17500E+00	2.10942
3.18000E+00	2.16232
3.18437E+00	2.20856
3.18812E+00	2.24825
3.19000E+00	2.26811
3.19250E+00	2.298
3.19437E+00	2.32043
3.19718E+00	2.3541
3.20000E+00	2.3878
3.20100E+00	2.39977
3.20200E+00	2.41612
3.20300E+00	2.43246
3.20400E+00	2.44881
3.20450E+00	2.45699
3.20500E+00	2.46897
3.20600E+00	2.49293
3.20700E+00	2.52806
3.20800E+00	2.58422
3.20887E+00	2.67491
3.20900E+00	2.69369
3.20925E+00	2.75395
3.20988E+00	2.92271
3.21000E+00	2.96926
3.21012E+00	3.03656
3.21038E+00	3.19907
3.21047E+00	3.27377
3.21050E+00	3.30562
3.21056E+00	3.36936
3.21069E+00	3.52356
3.21091E+00	3.81655
3.21100E+00	3.95994
3.21110E+00	4.1396
3.21120E+00	4.34336
3.21130E+00	4.55648
3.21140E+00	4.76952
3.21150E+00	4.9581
3.21158E+00	5.07181
3.21160E+00	5.09857
3.21165E+00	5.15205
3.21170E+00	5.17867
3.21172E+00	5.19197
3.21175E+00	5.19557
3.21180E+00	5.18293
3.21182E+00	5.1766
3.21190E+00	5.11448
3.21198E+00	5.01422
3.21200E+00	4.97095
3.21205E+00	4.88443
3.21220E+00	4.57844
3.21240E+00	4.15751
3.21250E+00	3.96572
3.21260E+00	3.79314
3.21270E+00	3.64129
3.21280E+00	3.50908
3.21290E+00	3.395
3.21300E+00	3.29673
3.21315E+00	3.1746
3.21320E+00	3.14203
3.21330E+00	3.07691
3.21340E+00	3.02453
3.21345E+00	2.99834
3.21360E+00	2.93472
3.21380E+00	2.86757
3.21400E+00	2.81565
3.21420E+00	2.77724
3.21430E+00	2.75804
3.21440E+00	2.74478
3.21460E+00	2.71828
3.21480E+00	2.69897
3.21500E+00	2.67967
3.21600E+00	2.63049
3.21700E+00	2.61093
3.21800E+00	2.60479
3.21900E+00	2.60732
3.22000E+00	2.60985
3.22025E+00	2.61049
3.22200E+00	2.62363
3.22400E+00	2.63867
3.22600E+00	2.65749
3.22800E+00	2.67632
