TOF,usX	Sigma,barn
56	4.7324
56.04	4.77442
56.08	4.89387
56.12	5.3236
56.16	6.86926
56.2	10.3732
56.24	13.0416
56.28	11.0355
56.32	7.21044
56.36	5.2772
56.4	4.78159
56.44	4.68787
56.48	4.67858
56.52	4.68359
56.56	4.69124
56.6	4.69951
56.64	4.70748
56.68	4.71512
56.72	4.72254
56.76	4.72978
56.8	4.73685
56.84	4.74375
56.88	4.75054
56.92	4.75725
56.96	4.76395
57	4.77065
57.04	4.77731
57.08	4.78394
57.12	4.79054
57.16	4.79715
57.2	4.8038
57.24	4.81051
57.28	4.81731
57.32	4.82425
57.36	4.83142
57.4	4.8389
57.44	4.84709
57.48	4.85681
57.52	4.86902
57.56	4.88355
57.6	4.89984
57.64	4.92334
57.68	4.98528
57.72	5.18824
57.76	5.8659
57.8	7.40813
57.84	8.82891
57.88	8.3091
57.92	6.53675
57.96	5.37075
58	4.99821
58.04	4.91661
58.08	4.90573
58.12	4.90951
58.16	4.91578
58.2	4.92255
58.24	4.92964
58.28	4.9369
58.32	4.94417
58.36	4.95155
58.4	4.95919
58.44	4.9672
58.48	4.97564
58.52	4.98446
58.56	4.99359
58.6	5.00291
58.64	5.01235
58.68	5.02182
58.72	5.03122
58.76	5.04048
58.8	5.04953
58.84	5.05867
58.88	5.06892
58.92	5.08137
58.96	5.09604
59	5.11169
59.04	5.12762
59.08	5.14363
59.12	5.15975
59.16	5.17606
59.2	5.19268
59.24	5.21112
59.28	5.23384
59.32	5.26061
59.36	5.29009
59.4	5.32462
59.44	5.37042
59.48	5.43123
59.52	5.51403
59.56	5.63849
59.6	5.80696
59.64	6.00294
59.68	6.23147
59.72	6.59731
59.76	7.48434
59.8	9.62537
59.84	15.3016
59.88	30.5703
59.92	57.5911
59.96	78.1157
60	69.4371
60.04	41.1167
60.08	18.7985
60.12	9.40932
60.16	6.4564
60.2	5.42537
60.24	5.07288
60.28	4.96696
60.32	4.92012
60.36	4.89313
60.4	4.88018
60.44	4.87854
60.48	4.88381
60.52	4.89233
60.56	4.90253
60.6	4.91368
60.64	4.92531
60.68	4.9373
60.72	4.94954
60.76	4.96191
60.8	4.97442
60.84	4.98721
60.88	5.00049
60.92	5.01412
60.96	5.02784
61	5.04187
61.04	5.05681
61.08	5.07302
61.12	5.09024
61.16	5.10894
61.2	5.13043
61.24	5.15546
61.28	5.18681
61.32	5.23112
61.36	5.28968
61.4	5.35777
61.44	5.43611
61.48	5.553
61.52	5.82445
61.56	6.59917
61.6	9.06214
61.64	15.5585
61.68	25.9551
61.72	32.9914
61.76	29.1012
61.8	18.3624
61.84	9.97431
61.88	6.40288
61.92	5.41719
61.96	5.23141
62	5.23028
62.04	5.27034
62.08	5.3369
62.12	5.44149
62.16	5.63281
62.2	6.10737
62.24	7.52669
62.28	11.3345
62.32	18.4672
62.36	25.8582
62.4	27.1301
62.44	20.9133
62.48	13.007
62.52	8.1094
62.56	6.16452
62.6	5.51102
62.64	5.26562
62.68	5.18525
62.72	5.1712
62.76	5.17696
62.8	5.19313
62.84	5.21817
62.88	5.25128
62.92	5.29482
62.96	5.35072
63	5.42068
63.04	5.51221
63.08	5.63644
63.12	5.82545
63.16	6.22886
63.2	7.31927
63.24	10.4148
63.28	18.5411
63.32	34.4542
63.36	52.495
63.4	58.2236
