E(MeV)	Gd-160
4.230370E-04	5.17839
4.230540E-04	5.15215
4.230700E-04	5.12822
4.230870E-04	5.10639
4.231040E-04	5.08648
4.231200E-04	5.06831
4.231370E-04	5.05171
4.231540E-04	5.03655
4.231700E-04	5.02267
4.231870E-04	5.00997
4.232090E-04	4.99465
4.232310E-04	4.98097
4.232530E-04	4.96872
4.232760E-04	4.95771
4.232980E-04	4.94778
4.233200E-04	4.93879
4.233420E-04	4.93062
4.233640E-04	4.92316
4.233920E-04	4.91469
4.234200E-04	4.90705
4.234480E-04	4.9001
4.234890E-04	4.89076
4.235310E-04	4.88247
4.235720E-04	4.87503
4.236140E-04	4.86828
4.236420E-04	4.8641
4.236970E-04	4.85639
4.237530E-04	4.84939
4.238080E-04	4.84299
4.238610E-04	4.83735
4.239400E-04	4.82959
4.240190E-04	4.82252
4.240980E-04	4.81601
4.241770E-04	4.80996
4.242560E-04	4.80432
4.243350E-04	4.799
4.244400E-04	4.79236
4.245460E-04	4.78614
4.246510E-04	4.78026
4.247760E-04	4.77369
4.249010E-04	4.76746
4.249840E-04	4.76346
4.251500E-04	4.75579
4.253170E-04	4.74848
4.254830E-04	4.74146
4.256500E-04	4.73467
4.258990E-04	4.72485
4.261270E-04	4.71619
4.264150E-04	4.70553
4.267040E-04	4.69515
4.269920E-04	4.68499
4.274250E-04	4.67006
4.278570E-04	4.65542
4.282900E-04	4.641
4.288460E-04	4.62272
4.294020E-04	4.60467
4.294310E-04	4.60375
4.301430E-04	4.57609
4.308850E-04	4.54759
4.316510E-04	4.51838
4.324420E-04	4.48848
4.324720E-04	4.48739
4.332340E-04	4.45326
4.340250E-04	4.41813
4.347880E-04	4.38462
4.351550E-04	4.36868
4.355210E-04	4.34929
4.360710E-04	4.32046
4.366210E-04	4.29191
4.371710E-04	4.2637
4.373540E-04	4.25442
4.377090E-04	4.23161
4.382420E-04	4.19784
4.387750E-04	4.1646
4.391300E-04	4.14281
4.394630E-04	4.12273
4.394860E-04	4.12094
4.398410E-04	4.09351
4.401960E-04	4.06655
4.405470E-04	4.04047
4.408380E-04	4.01941
4.408980E-04	4.01394
4.412490E-04	3.98284
4.414830E-04	3.96265
4.416940E-04	3.94494
