E(MeV)	pendfb7/Cs133:1
6.07560E-06	954.809178
6.07621E-06	949.130399
6.08137E-06	904.338873
6.08188E-06	899.965629
6.08714E-06	857.702597
6.08754E-06	854.464792
6.09291E-06	814.543162
6.09321E-06	812.292491
6.09868E-06	774.493076
6.09868E-06	774.493011
6.10414E-06	739.293765
6.10637E-06	725.858195
6.10961E-06	706.418774
6.11406E-06	681.345712
6.11508E-06	675.675967
6.12054E-06	646.921694
6.12176E-06	640.911603
6.12601E-06	619.98484
6.12965E-06	603.257803
6.13330E-06	586.615844
6.13775E-06	567.803545
6.14058E-06	555.891801
6.14585E-06	535.390511
6.14787E-06	527.543542
6.15394E-06	505.728398
6.15556E-06	499.938325
6.16204E-06	478.518657
6.16366E-06	473.1883
6.17014E-06	453.466413
6.17176E-06	448.558041
6.17824E-06	430.359287
6.17986E-06	425.829557
6.18634E-06	409.000986
6.18795E-06	404.811896
6.19443E-06	389.219223
6.19605E-06	385.341265
6.20415E-06	367.266411
6.20658E-06	362.201462
6.21225E-06	350.458254
6.21873E-06	337.903451
6.22035E-06	334.783473
6.22844E-06	320.169179
6.23087E-06	316.054647
6.23654E-06	306.511614
6.24302E-06	296.263009
6.24464E-06	293.715339
6.25274E-06	281.730119
6.25517E-06	278.341932
6.26083E-06	270.47821
6.26569E-06	264.119185
6.26893E-06	259.904487
6.28108E-06	245.182386
6.28148E-06	244.726043
6.29019E-06	234.984608
6.29727E-06	227.523264
6.29930E-06	225.405505
6.31144E-06	213.549227
6.31306E-06	212.085339
6.32359E-06	202.633749
6.32885E-06	198.248732
6.33574E-06	192.545284
6.33938E-06	189.737985
6.34788E-06	183.222028
6.35558E-06	177.730603
6.36003E-06	174.57089
6.37177E-06	166.798378
6.37218E-06	166.531932
6.38554E-06	158.341438
6.38797E-06	156.960283
6.40011E-06	150.096348
6.40416E-06	147.977013
6.41469E-06	142.499042
6.42036E-06	139.761248
6.42926E-06	135.489026
6.44384E-06	128.98844
6.44465E-06	128.651873
6.45842E-06	122.978578
6.46894E-06	118.929216
6.47299E-06	117.383937
6.48757E-06	112.183834
6.49324E-06	110.293173
6.50295E-06	107.07723
6.51753E-06	102.576605
6.51915E-06	102.080177
6.53534E-06	97.4494731
6.54182E-06	95.7180936
6.55154E-06	93.1400783
6.56611E-06	89.520123
6.56773E-06	89.1206898
6.58393E-06	85.3762685
6.59041E-06	83.9697043
6.60012E-06	81.8798231
6.61632E-06	78.6051636
6.63413E-06	75.2242551
6.63434E-06	75.1862454
6.65418E-06	71.7091941
